40,0,0
80,0,0
160,0,1
320,0,1
640,1,3
1280,3,6
2560,10,15
5120,18,34
10240,39,74
20480,83,162
40960,179,348
81920,383,756
163840,815,1604
327680,1694,3398
655360,2468,4378
1310720,4539,9216
2621440,9497,19379
5242880,19781,40584
10485760,41336,85021
